Max. Equipment Designation,Best glide ratio,Cruising altitude,Fuel with max payload,"Ground clearance, fuselage","Height, alternate configuration","Height, fuselage","Height, overall",Landing run,"Length, alternate configuration","Length, fuselage",Max certified altitude,Max fuel weight,Max launch weight,Propeller diameter,T-O run,T-O speed,Tailplane span,Weapons bay volume,"Weight empty, equipped","Width, fuselage","Width, overall",Wing aspect ratio,g limits,Absolute ceiling [m],Service ceiling [m],Operating altitude [m],Cruising speed [m/s],Loitering speed [m/s],Max level speed [m/s],Max operating speed [m/s],Never-exceed speed [m/s],Stalling speed [m/s],Rate of climb [m/s],Endurance [h],Gross wing area [m2],Max T-O weight [kg],Max payload [kg],"Operating weight, empty [kg]",Payload with max fuel [kg],Weight empty [kg],"Length, overall [m]",Wing span [m],Radius of operation [km],Range [km]
Penguin BE Electric,,,,,,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,,,,,30 m (98.4 ft),,,,,,,,,,6000,,22.02,,36.01,,,13.0,,1.83,,21.5,6.6,,,14.9,2.27,3.3,,
Penguin C,,,,,,200 mm (7 3/4 in),900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,,,,,,,,,,290 mm (11 1/2 in),,,,,5000,,22.12,,31.9,,,,,20.0,,23.0,3.2,,,10.0,2.3,3.0,,100.0
Penguin C Mk2,,,,,,200 mm (7 3/4 in),900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,,,,,,,,,,290 mm (11 1/2 in),,,,,4000,,20.58,,30.87,,,,,25.0,,25.0,,,,10.0,2.3,3.3,,180.0
Phoenix FW120,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1.5,,9.5,1.13,,,,0.23,3.8,,4.82
Pigeon VTOL,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,,31.95,,,,,2.0,,11.0,1.5,,,,1.15,1.9,,150.0
Puma AE,,,,,,,,,,,,,6.3 kg (14 lb) (Puma II AE),,,,,,,,,,,,3200,152,10.29,,23.15,20.58,,,,2.0,,5.9,,,,,1.4,2.8,,15.0
Punisher,,,,,,,,,,,,,,,,,,,,,,,,,,400,22.12,,,,55.56,,,1.5,,15.0,2.0,,,,,2.28,,44.4
RAM,,,,,,,,,,,,,,,,,,,,,,,,,,,19.45,,41.67,,,,,0.5,,8.0,4.0,,,,1.78,2.3,,30.0
Ranger,,,,,,,300 mm (11 3/4 in),,,,,,,,,,,,,,,,,,3000,,13.89,,,33.03,,11.32,,1.5,,7.0,2.8,,,,1.39,3.0,,400.0
Ranger VTOL,,,,,,,300 mm (11 3/4 in) 300 mm (11 3/4 in),,,1.39 m (4 ft 6 3/4 in),,,,,,,,,,,,,,,4000,,23.0,,,33.03,,16.98,,1.5,,14.0,1.0,,,,1.63,3.0,,400.0
Raybird-3,,,,,,,320 mm (1 ft 1/2 in) 320 mm (1 ft 1/2 in),,,,,,,,,,,,,,,,,4500,3500,,30.56,,38.89,,,22.22,,18.0,,23.0,5.0,,,11.0,1.83,2.96,100.0,2500.0
RemoEye-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83,,,,,2.0,,6.5,,,,,1.72,2.72,,15.0
RemoEye-006A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83,,,,,2.0,,6.5,,,,,1.72,2.72,,15.0
Rover Mk I,,,,,,,200 mm (7 3/4 in) 200 mm (7 3/4 in),,,,,,,,,,,,,,,,,,,,8.33,,27.78,,,,,0.75,,5.5,1.0,,,3.5,0.9,1.5,,12.0
Rover Mk II XS,,,,,,,300 mm (11 3/4 in),,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,6.5,1.0,,,,0.16,3.0,,15.0
SAT-i,,,,,,,530 mm (1 ft 8 3/4 in) 530 mm (1 ft 8 3/4 in),,,,,,,,,,,,,,,,,,9000,400,8.08,,13.89,,,,3.0,2.0,,6.3,,,,,3.2,7.3,250.0,
SPEAR,,,,,,,460 mm (1 ft 6 in) (excl propeller) 460 mm (1 ft 6 in) (excl propeller),,,,,,,,,,,,,,3.65 m (11 ft 11 3/4 in),,,,3050,1524,20.58,,25.72,,,10.08,,1.8,,17.24,4.54,,,3.6,1.94,3.66,,
